	OS115	AP114	JJ415	OT115	JJ515	OS615	OJ615	JT415	JP315	OJ514	OJ515	OJ415	AS114	JS415	JP414	OT515	JJ114	OT415	OT414	JP515	JT115	AJ414	OP315	OS214	JT314	OP515	AT414	OS415	OP615	OP614	JS115
OJ515	0.662608931103	0.59671729535	0.302718397523	0.324873109465	0.354195858966	0.677392125061	0.0888443702075	0.468115592754	0.536483992592	0.288350050638	0.0	0.0616356185075	0.291478653896	0.396403669377	0.646739476258	0.418325869383	0.359981852195	0.343075009115	0.473294612113	0.498878339651	0.494112912411	0.507160604763	0.441103891895	0.250114963975	0.661685614456	0.49659859342	0.224013866431	0.689130005498	0.695870441853	0.297478910559	0.458942927747
OJ415	0.665234329408	0.601038824329	0.305928738679	0.329094514598	0.361017271044	0.675683131167	0.0965954179808	0.490713145924	0.536110805868	0.299272915883	0.0616356185075	0.0	0.299225030817	0.395733760525	0.644007817356	0.418588325472	0.347082188431	0.343761602477	0.478109058132	0.495263955554	0.502683163286	0.508509956885	0.438170721954	0.255862243699	0.667029010967	0.493480948233	0.231469828699	0.691907916896	0.691311466188	0.290451529558	0.457633064035
AS114	0.554895035447	0.487771211262	0.237179175323	0.362609134813	0.448829169536	0.544173515148	0.317151652826	0.386185665963	0.393064933013	0.2429608594	0.291478653896	0.299225030817	0.0	0.185791244249	0.502059115715	0.425069335918	0.515717091062	0.306361067739	0.353913095865	0.37264186348	0.410128745623	0.385755808328	0.26036669811	0.16649876096	0.552619561041	0.325225319309	0.417184379467	0.601533221447	0.579390952284	0.125887366243	0.297482927168
JS415	0.610458602969	0.56267499754	0.345991080471	0.456579822333	0.562079924188	0.564970155386	0.447617387077	0.468734971498	0.475254504181	0.353369196157	0.396403669377	0.395733760525	0.185791244249	0.0	0.542444866171	0.50348428745	0.630883175439	0.38030475332	0.453752956104	0.446805932174	0.491164908996	0.467031026071	0.294623418791	0.288063910703	0.619199994213	0.360674027605	0.551002644174	0.666518065048	0.599709780086	0.193708363089	0.357769879047
JP414	0.483416930177	0.423594737984	0.48880654475	0.536967727365	0.615838457999	0.572868279464	0.682757674991	0.452438166324	0.401060901068	0.475136242947	0.646739476258	0.644007817356	0.502059115715	0.542444866171	0.0	0.540966515235	0.728906174658	0.472461470529	0.336808565063	0.432428475361	0.478578129576	0.533318945571	0.439224761712	0.478554805984	0.335787013224	0.473901309934	0.69136773836	0.655645881536	0.513712853381	0.474323510229	0.396367892011
OT515	0.468539348071	0.474600234092	0.394171679736	0.205969519662	0.529553370468	0.454053905206	0.468591864059	0.480222302439	0.385203415608	0.339347839347	0.418325869383	0.418588325472	0.425069335918	0.50348428745	0.540966515235	0.0	0.562852923696	0.200205129199	0.421162625655	0.341083454961	0.499155211667	0.294242955525	0.360717465204	0.394979236668	0.549600233514	0.373870291675	0.543495523887	0.497058754015	0.484728246766	0.376514134379	0.433418766747
JJ114	0.782737472149	0.580451129373	0.372245387019	0.476613867299	0.267538439191	0.816807147776	0.317968352672	0.547843573599	0.626174097341	0.394900996846	0.359981852195	0.347082188431	0.515717091062	0.630883175439	0.728906174658	0.562852923696	0.0	0.519532894181	0.559419754333	0.603309779508	0.535113906942	0.655005314101	0.600135744379	0.471337264678	0.681471454614	0.632084136694	0.318589459186	0.826913715964	0.834458220724	0.505134072166	0.554628785266
OT415	0.489960520559	0.443893210741	0.306942102491	0.185676360138	0.489825945485	0.465497582395	0.39396019011	0.402179450505	0.378956099424	0.243582577621	0.343075009115	0.343761602477	0.306361067739	0.38030475332	0.472461470529	0.200205129199	0.519532894181	0.0	0.361737587893	0.342003053908	0.430941477473	0.327198689198	0.268757138227	0.302351838306	0.510026061229	0.315241731821	0.471732054458	0.531320023728	0.49092327903	0.25970699702	0.351692800139
OT414	0.391581345236	0.384747593102	0.367822436992	0.408587374924	0.488170821204	0.528019195868	0.500363006742	0.34599377673	0.377878464076	0.301079181689	0.473294612113	0.478109058132	0.353913095865	0.453752956104	0.336808565063	0.421162625655	0.559419754333	0.361737587893	0.0	0.351009712665	0.342305479904	0.437775389913	0.36007104488	0.31354244683	0.24382233369	0.391732682948	0.49273695622	0.539911368963	0.483090846957	0.35841744466	0.33104174137
JP515	0.390116755404	0.357737549408	0.405440635435	0.36309467664	0.54167467201	0.434121885182	0.542880801817	0.408611912092	0.164986385023	0.354691250326	0.498878339651	0.495263955554	0.37264186348	0.446805932174	0.432428475361	0.341083454961	0.603309779508	0.342003053908	0.351009712665	0.0	0.438043429497	0.291526744987	0.307334279348	0.355250015336	0.485462457536	0.295685634712	0.57638072369	0.420061826442	0.325218598918	0.349087590787	0.311849572036
