#OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy
OTU86	71	294	0	24	0	13	10	2	172	14	0	0	54	25	15	2	2	1	1	10	8	318	3	0	0	0	0	5	36	1	5	GS|99.3|KY768252|SH223202.07FU;k:Fungi,p:Ascomycota
OTU87	0	17	23	17	19	4	7	1	7	2	85	81	16	25	5	3	8	3	0	5	0	9	0	134	592	156	12	0	36	0	0	GS|98.8|KF309971|SH027329.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Teratosphaeriaceae,g:Meristemomyces,s:Meristemomyces frigidus
OTU88	0	0	0	42	0	4	65	0	0	0	0	0	0	291	2	1	2	3	0	0	0	0	0	0	0	0	0	2	958	4	1	US|0.9939|KF617984|SH208599.07FU;k:Fungi
OTU89	0	80	534	0	0	0	0	0	3	0	15	1	0	0	0	1	0	0	0	1	0	7	0	14	3	0	0	2	59	0	16	GS|100.0|JN161162|SH220498.07FU;k:Fungi,p:Ascomycota,c:Taphrinomycetes,o:Taphrinales,f:Protomycetaceae,g:Saitoella,s:Saitoella complicata
OTU90	0	406	0	10	0	0	0	21	309	10	3	0	1	16	7	0	5	0	0	5	7	136	10	0	7	2	0	1	0	0	1	SS|1.0000|JN904443|SH212425.07FU;k:Fungi
OTU91	0	0	1	63	0	0	0	1	5	0	8	2	57	57	5	0	5	0	0	0	0	14	0	4	5	0	0	13	286	3	7	GS|97.3|KF274277|SH025617.07FU;k:Fungi
OTU92	0	12	4	38	0	0	5	2	10	0	20	10	48	17	5	0	1	0	0	0	0	2	0	57	162	41	0	2	77	4	3	US|0.9969|JN084059|SH025615.07FU;k:Fungi
OTU93	0	0	0	123	0	0	1	0	0	0	0	0	1	45	1	0	5	0	0	0	0	0	0	0	0	0	0	1	478	0	1	US|0.7825|KT160532|SH201665.07FU;k:Fungi,p:Ascomycota
OTU94	5	100	0	22	0	7	8	12	103	1	0	0	26	16	13	2	0	1	0	10	19	205	2	0	0	0	0	1	5	1	4	US|0.7601|AF444332|SH025794.07FU;k:Fungi,p:Basidiomycota
OTU95	132	234	8	57	32	211	112	28	336	23	0	0	67	88	39	42	13	24	12	0	0	33	1	2	13	2	0	4	51	2	1	US|0.9916|JN905618|SH022043.07FU;k:Fungi
OTU96	0	0	525	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	0	12	0	0	3	GS|99.5|KF221402|SH221826.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes
OTU97	0	14	0	11	62	9	11	1	0	2	0	0	0	28	1	43	191	46	12	0	8	0	16	1	3	1	0	7	72	2	1	GSL|100.0|KF938450|SH216250.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium,s:Cladosporium herbarum
OTU98	0	11	0	54	52	37	40	0	0	1	0	0	2	13	2	127	137	96	56	2	0	0	2	0	0	0	0	12	34	3	2	GS|100.0|FJ884104|SH186930.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces,s:Pseudopithomyces chartarum
OTU99	0	430	0	3	0	0	3	27	343	18	1	1	3	3	0	1	0	0	0	2	15	86	14	0	3	2	0	1	0	0	0	SS|1.0000|KF221420|SH221826.07FU;k:Fungi
